"entrez_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","label","direction"
"100507321",139.240232603807,0.719175081789354,0.30594572982873,2.35066226350652,0.0187400348373927,0.178804491938541,"ERVK13-1","ERVK13-1","Not significant"
"79016",580.524347177346,-0.506609239160044,0.215623546491654,-2.34950796145843,0.0187982420941447,0.179232207183746,"DDA1","DDA1","Not significant"
"1471",3498.33221044125,-0.38221273438676,0.162696936199793,-2.34923129663241,0.0188122167667833,0.179237877530462,"CST3","CST3","Not significant"
"114134",352.726842365031,-0.559073032326259,0.238048538083653,-2.34856738389124,0.0188457888680266,0.179430126280089,"SLC2A13","SLC2A13","Not significant"
"541471",353.875788733817,0.672491770107112,0.286461549025281,2.34758128061286,0.0188957499024095,0.179778029611277,"MIR4435-2HG","MIR4435-2HG","Not significant"
"9830",183.636351057875,0.682306190120744,0.290826041038268,2.34609730162012,0.0189711541795639,0.180367339524087,"TRIM14","TRIM14","Not significant"
"57537",48.3178309531648,-1.26238002899291,0.538516659339086,-2.34418008635463,0.0190689616167628,0.181081490478966,"SORCS2","SORCS2","Not significant"
"9934",22.7458587283185,-1.64883334142298,0.703398636532703,-2.34409516280932,0.0190733042001956,0.181081490478966,"P2RY14","P2RY14","Not significant"
"64225",383.065615574471,-0.517154985883937,0.220900056516131,-2.34112654401323,0.0192256494860077,0.182398583933824,"ATL2","ATL2","Not significant"
"80267",1497.63562096033,-0.452253080246403,0.193354580724355,-2.3389830153087,0.0193363125356445,0.183318643119245,"EDEM3","EDEM3","Not significant"
"130132",206.245774442454,0.621800528149859,0.265962980218315,2.33792134393838,0.0193913288226513,0.183710212806391,"RFTN2","RFTN2","Not significant"
"26207",119.488268494118,-0.885014413058478,0.378630793698845,-2.33740738415059,0.0194180115485396,0.183832991310414,"PITPNC1","PITPNC1","Not significant"
"57037",313.839206285569,0.571390232027364,0.244521473438343,2.33676913521234,0.0194511915174881,0.184017063254428,"ANKMY2","ANKMY2","Not significant"
"5686",944.952290194605,-0.458347711058284,0.196200834490012,-2.33611499283208,0.0194852491104482,0.184044402070838,"PSMA5","PSMA5","Not significant"
"51347",1249.26583887308,-0.453733536251988,0.194228016857521,-2.33608695384473,0.0194867101098393,0.184044402070838,"TAOK3","TAOK3","Not significant"
"9943",1121.14479708509,-0.432366316408156,0.185094486259434,-2.33592218302029,0.0194952975917079,0.184044402070838,"OXSR1","OXSR1","Not significant"
"22891",91.2868077813067,1.03280691980478,0.442216593844681,2.33552276006977,0.0195161283326748,0.184111306439797,"ZNF365","ZNF365","Not significant"
"167838",167.233435986717,1.01127117372385,0.4330553826456,2.33520056383053,0.0195329457050004,0.184140281959314,"TXLNB","TXLNB","Not significant"
"9650",264.072783983735,-0.596310931923189,0.255567231286959,-2.33328400092745,0.0196332445839504,0.184955657135443,"MTFR1","MTFR1","Not significant"
"65983",564.997493513472,-1.21214422213021,0.51984428485472,-2.33174482714371,0.0197141190691346,0.185495128933445,"GRAMD2B","GRAMD2B","Not significant"
"23143",471.503663152751,0.630400764554794,0.270364809076022,2.33166722662318,0.0197182042103035,0.185495128933445,"LRCH1","LRCH1","Not significant"
"6655",850.038210926673,-0.529007521447835,0.226934385465703,-2.33110341723769,0.0197479071544922,0.185644185432686,"SOS2","SOS2","Not significant"
"57559",141.357110242146,0.830882674325864,0.35657667384983,2.33016553033355,0.0197974040353711,0.18567399749524,"STAMBPL1","STAMBPL1","Not significant"
"90102",1700.39559771411,0.408659227003317,0.17537813046273,2.33016069862919,0.0197976593082618,0.18567399749524,"PHLDB2","PHLDB2","Not significant"
